Content Type,Video title,Video publish date,Video publish year,definition,caption,pushblishDayName,tagCount,noOfWordsInTitle,durationSecs,likeCount,commentCount,Views,View-to-Like Ratio,Comments per View,Views per Minute,dayType
Video,Last To Remove Hand Gets Lamborghini Challenge,25-01-2023,2023,hd,FALSE,Friday,20,7,1187,1458435,75282,72832289,2.00245663,0.103363496,3681497.338,Workday
Video,You Pick The Right Cup You Win $100000!,26-01-2023,2023,hd,FALSE,Sunday,20,8,1055,973175,36743,35456101,2.744732141,0.103629556,2016460.72,Weekend
Video,I Bought Every Billboard In My City For This,27-01-2023,2023,hd,FALSE,Friday,0,9,931,1311215,111681,37500308,3.496544615,0.297813554,2416776.026,Workday
Video,Ordering Water Then Tipping $30000,28-01-2023,2023,hd,FALSE,Tuesday,0,5,723,1124020,47731,41753252,2.692053783,0.114316844,3465000.166,Workday
Video,I Spent $50000 On Lottery Tickets And Won ____,29-01-2023,2023,hd,FALSE,Friday,0,9,1014,740529,34911,30147770,2.456330933,0.11579961,1783891.716,Workday
Video,Last To Leave Circle Wins $10000 - Challenge,30-01-2023,2023,hd,FALSE,Friday,0,8,996,1394169,60404,79898839,1.74491772,0.075600598,4813183.072,Workday
Video,I Spent 24 Hours Straight In Slime,31-01-2023,2023,hd,FALSE,Tuesday,22,7,878,895915,34349,39663261,2.258803178,0.086601553,2710473.417,Workday
Video,Surprising Tfue With $10000 Live - Fortnite,01-02-2023,2023,hd,FALSE,Thursday,14,7,923,1446367,47983,68051458,2.125401927,0.070509878,4423713.413,Workday
Video,I Spent $30000 On Lottery Tickets And Won ____,02-02-2023,2023,hd,FALSE,Friday,0,9,1052,421219,22920,16743501,2.515716396,0.136888934,954952.5285,Workday
Video,Flat Earth PROVEN By Independent Research,03-02-2023,2023,hd,FALSE,Saturday,0,6,712,769503,140714,26401526,2.914615617,0.532976768,2224847.697,Weekend
Video,Things That SHOULDNT Be Sold On Amazon,04-02-2023,2023,hd,FALSE,Friday,15,7,846,1540929,51804,98475713,1.56478075,0.052605864,6984093.121,Workday
Video,Surprising My 8000000th Subscriber With 8000000 ___,05-02-2023,2023,hd,FALSE,Wednesday,31,7,1132,482182,19095,27122176,1.777814582,0.070403643,1437571.166,Workday
Video,I Donated $25000 To Random Kids Streaming Fortnite,06-02-2023,2023,hd,FALSE,Friday,27,8,1057,1258147,40820,61093124,2.05939215,0.06681603,3467916.216,Workday
Video,I Hope This Magic Trick Works,07-02-2023,2023,hd,FALSE,Tuesday,11,6,982,705073,20027,41427788,1.701932529,0.048341949,2531229.409,Workday
Video,Can A Glowing 1000 Degree Sword Slice A Car In Half?,08-02-2023,2023,hd,FALSE,Thursday,28,11,613,1064363,39216,64649797,1.646351651,0.060659123,6327875.726,Workday
Video,Rocket League In Real Life!,09-02-2023,2023,hd,FALSE,Saturday,9,5,775,525280,16814,27254622,1.927306128,0.061692288,2110035.252,Weekend
Video,Destroying My Friends Car And Surprising Him With A New One - Slime,10-02-2023,2023,hd,FALSE,Tuesday,16,13,971,2064624,65785,91901449,2.246563055,0.071582114,5678771.308,Workday
Video,Spending 24 Hours Straight Under Water Challenge,11-02-2023,2023,hd,FALSE,Friday,9,7,911,2724430,105482,104006992,2.619468122,0.101418182,6850076.312,Workday
